task_id,school,stage,task_name,description,trigger_condition,deadline,required_documents,action_url,risk_level,source_url,updated_at,task_code,evidence_count,candidate_evidence_count,usable_evidence_count,review_evidence_count,rejected_evidence_count,evidence_types,official_deadline_evidence,official_document_evidence,official_action_evidence,official_action_urls,official_fee_evidence,evidence_ids,evidence_quality_status,evidence_quality_notes,enrichment_status,enriched_at
hkust-submit_conditions,HKUST,offer_acceptance,补交 conditional offer 材料,核对 conditional offer 中尚未满足的条件，提交最终成绩单、毕业证、学位证、语言成绩或官方认证文件。,offer 为 conditional，且仍有 pending condition。,以 conditional offer、学院邮件或学校系统内的 document deadline 为准。,最终成绩单；毕业证 / 学位证；语言成绩；官方认证件；学校额外要求文件。,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/accepting-offer,high,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/accepting-offer,2026-06-29,submit_conditions,10,36,10,2,24,"action_instruction, deadline, required_document","Submit relevant documents as proof as early as possible and no later than mid-July for Fall admission, or end December for Spring admission. | Refer to Document Requirements for details and tips as below: Arrange official documents to be sent before the deadline stipulated in the offer letter/ Document Checklist. | Please refer to the FYTGS website for detailed guidelines on submitting official documents before program registration.","Submit relevant documents as proof as early as possible and no later than mid-July for Fall admission, or end December for Spring admission. | Refer to Document Requirements for details and tips as below: Arrange official documents to be sent before the deadline stipulated in the offer letter/ Document Checklist. | The University may accept the following as official certified true copies only in cases where the originals of the official documents required to confirm the admission offer cannot be obtained despite all reasonable efforts or provided: (1) Copies officially imprinted, signed and certified by the issuing authority concerned, or (2) Copies that have been c...","Submit relevant documents as proof as early as possible and no later than mid-July for Fall admission, or end December for Spring admission. | Refer to Document Requirements for details and tips as below: Arrange official documents to be sent before the deadline stipulated in the offer letter/ Document Checklist. | Hard copies of the official documents are generally not accepted.",,,hkust__submit_conditions__deadline__0170_00; hkust__submit_conditions__required_document__0170_01; hkust__submit_conditions__action_instruction__0170_02; hkust__submit_conditions__deadline__0172_02; hkust__submit_conditions__required_document__0172_03; hkust__submit_conditions__action_instruction__0172_04; hkust__submit_conditions__required_document__0173_01; hkust__submit_conditions__deadline__0173_07; hkust__submit_conditions__required_document__0177_05; hkust__submit_conditions__action_instruction__0177_06,audited,10 keep; 2 review/missing; 24 reject,evidence_found,2026-06-30
hkust-apply_student_visa,HKUST,visa,申请学生签证 / 进入许可,内地学生通常需要通过学校申请 entry permit / student visa。尽早准备表格、身份证明、录取证明和资金材料，等待学校或入境处处理。,决定入读且尚未递交学生签证 / 进入许可申请。,以学校签证页面、邮件及香港入境事务处处理周期为准；不要等到临近开学才递交。,签证 / 进入许可申请表；旅行证件；录取证明；财力证明；照片；学校要求的其他文件。,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/applying-student-visa,high,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/applying-student-visa,2026-06-29,apply_student_visa,30,36,30,4,2,"action_instruction, deadline, required_document","Send us the required paper documents as soon as possible. | Approved visa/ entry permit must be activated on or before the specified date on the e-Visa. | Application period: Fall admission: March or soonest possible Spring admission: mid-October or soonest possible For exchange program, PG visiting student program and visiting internship: apply right after you have accepted the admission offer For DBA, EMBA, MBA, HKUST-NYU MSc in Global Finance: respective program offices will advise you of the details sep...",Send us the required paper documents as soon as possible. | Please refer to the Checklist of Documents Required for Visa/ Entry Permit Application for details. | Please refer to the Checklist of Documents Required for Visa/ Entry Permit Application.,Send us the required paper documents as soon as possible. | Please refer to the Checklist of Documents Required for Visa/ Entry Permit Application for details. | You can check your application status in the Visa System.,,,hkust__apply_student_visa__deadline__0179_00; hkust__apply_student_visa__required_document__0179_01; hkust__apply_student_visa__action_instruction__0179_02; hkust__apply_student_visa__required_document__0179_03; hkust__apply_student_visa__action_instruction__0179_04; hkust__apply_student_visa__action_instruction__0179_05; hkust__apply_student_visa__action_instruction__0180_01; hkust__apply_student_visa__deadline__0180_02; hkust__apply_student_visa__action_instruction__0181_00; hkust__apply_student_visa__action_instruction__0182_00; hkust__apply_student_visa__action_instruction__0182_01; hkust__apply_student_visa__action_instruction__0182_02,audited,30 keep; 4 review/missing; 2 reject,evidence_found,2026-06-30
hkust-apply_accommodation,HKUST,housing,申请宿舍或安排校外住宿,查询学校住宿申请窗口、资格和优先级；如校内宿舍名额有限，同时准备校外租房备选方案。,计划到港就读，且尚未提交住宿申请或确定住所。,以学校住宿页面公布的 application period / hall application deadline 为准。,student ID / application number；入学证明；住宿申请表；可能需要的紧急联系人信息。,https://shrl.hkust.edu.hk/apply-for-housing/pg/tpgs-visiting-internship-students-and-mba-students,medium,https://shrl.hkust.edu.hk/apply-for-housing/pg/tpgs-visiting-internship-students-and-mba-students,2026-06-29,apply_accommodation,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
hkust-pay_tuition,HKUST,payment,核对并缴纳学费 / 其他费用,核对 programme tuition、缴费方式、分期安排和账单生成时间，按学校财务或学生系统要求付款。,学费账单或缴费通知已发布，且尚未完成付款。,以学校缴费页面、学生系统账单或学院邮件为准。,student ID；缴费通知；付款工具；付款凭证。,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/submitting-an-application/scholarships-and-fees,medium,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/submitting-an-application/scholarships-and-fees,2026-06-29,pay_tuition,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
hkust-complete_registration,HKUST,registration,完成线上注册 / 学籍激活,按学校注册指引激活学生账号、完成个人资料、上传证件或注册确认，并检查是否需要线下核验。,学校开放 registration / enrolment，且尚未完成。,以学校 registration guide、学生系统和邮件通知为准。,身份证明；旅行证件；证件照片；录取信息；学校要求上传的声明或表格。,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/handy-resources-preparing-your-studies/handy-resources-tpg,high,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/handy-resources-preparing-your-studies/handy-resources-tpg,2026-06-29,complete_registration,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
hkust-prepare_arrival_orientation,HKUST,orientation,准备入境与参加 orientation,整理入境文件、住宿安排、交通和报到材料，关注 orientation / induction 活动报名与时间表。,签证 / 进入许可获批后，或开学前学校发布 orientation 安排。,以学校 orientation 页面、学院邮件和入境日期安排为准。,旅行证件；签证 / 进入许可；录取证明；住宿地址；保险 / 现金 / 电话卡等到港准备材料。,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/moving-to-hong-kong,medium,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/moving-to-hong-kong,2026-06-29,prepare_arrival_orientation,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
lingnan-accept_offer,Lingnan,offer_acceptance,接受 offer 并确认入读意向,登录学校申请系统或 offer letter 指定入口，按要求接受录取。若页面要求同时确认条款、上传回执或选择入学批次，需要一并完成。,收到 offer 后，且尚未完成 official acceptance。,以 offer letter、申请系统或学院邮件显示的 acceptance deadline 为准。,offer letter；申请系统账号；学校要求的接受录取确认信息。,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,high,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,2026-06-29,accept_offer,0,5,0,0,5,,,,,,,,audited,5 reject,evidence_needs_review,2026-06-30
lingnan-pay_deposit,Lingnan,offer_acceptance,缴纳留位费 / admission deposit,按学校指定付款方式缴纳留位费，并保存付款成功页面、交易编号或银行凭证。,offer 条款或申请系统要求缴纳 deposit，且尚未完成付款。,通常与接受 offer 的截止日绑定；以 offer letter / portal 的金额与截止时间为准。,银行卡或汇款信息；付款凭证；application number / student ID。,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,high,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,2026-06-29,pay_deposit,0,2,0,0,2,,,,,,,,audited,2 reject,evidence_needs_review,2026-06-30
lingnan-submit_conditions,Lingnan,offer_acceptance,补交 conditional offer 材料,核对 conditional offer 中尚未满足的条件，提交最终成绩单、毕业证、学位证、语言成绩或官方认证文件。,offer 为 conditional，且仍有 pending condition。,以 conditional offer、学院邮件或学校系统内的 document deadline 为准。,最终成绩单；毕业证 / 学位证；语言成绩；官方认证件；学校额外要求文件。,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,high,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,2026-06-29,submit_conditions,0,5,0,0,5,,,,,,,,audited,5 reject,evidence_needs_review,2026-06-30
lingnan-apply_student_visa,Lingnan,visa,申请学生签证 / 进入许可,内地学生通常需要通过学校申请 entry permit / student visa。尽早准备表格、身份证明、录取证明和资金材料，等待学校或入境处处理。,决定入读且尚未递交学生签证 / 进入许可申请。,以学校签证页面、邮件及香港入境事务处处理周期为准；不要等到临近开学才递交。,签证 / 进入许可申请表；旅行证件；录取证明；财力证明；照片；学校要求的其他文件。,https://www.ln.edu.hk/fb/tpo/applications/information-for-non-local-applicants,high,https://www.ln.edu.hk/fb/tpo/applications/information-for-non-local-applicants,2026-06-29,apply_student_visa,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
lingnan-apply_accommodation,Lingnan,housing,申请宿舍或安排校外住宿,查询学校住宿申请窗口、资格和优先级；如校内宿舍名额有限，同时准备校外租房备选方案。,计划到港就读，且尚未提交住宿申请或确定住所。,以学校住宿页面公布的 application period / hall application deadline 为准。,student ID / application number；入学证明；住宿申请表；可能需要的紧急联系人信息。,https://www.ln.edu.hk/osa/student-experience/cultural-integration/planning-your-arrival/accommodation,medium,https://www.ln.edu.hk/osa/student-experience/cultural-integration/planning-your-arrival/accommodation,2026-06-29,apply_accommodation,0,1,0,0,1,,,,,,,,audited,1 reject,evidence_needs_review,2026-06-30
lingnan-pay_tuition,Lingnan,payment,核对并缴纳学费 / 其他费用,核对 programme tuition、缴费方式、分期安排和账单生成时间，按学校财务或学生系统要求付款。,学费账单或缴费通知已发布，且尚未完成付款。,以学校缴费页面、学生系统账单或学院邮件为准。,student ID；缴费通知；付款工具；付款凭证。,https://www.ln.edu.hk/sgs/tpg,medium,https://www.ln.edu.hk/sgs/tpg,2026-06-29,pay_tuition,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
lingnan-complete_registration,Lingnan,registration,完成线上注册 / 学籍激活,按学校注册指引激活学生账号、完成个人资料、上传证件或注册确认，并检查是否需要线下核验。,学校开放 registration / enrolment，且尚未完成。,以学校 registration guide、学生系统和邮件通知为准。,身份证明；旅行证件；证件照片；录取信息；学校要求上传的声明或表格。,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,high,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,2026-06-29,complete_registration,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
lingnan-prepare_arrival_orientation,Lingnan,orientation,准备入境与参加 orientation,整理入境文件、住宿安排、交通和报到材料，关注 orientation / induction 活动报名与时间表。,签证 / 进入许可获批后，或开学前学校发布 orientation 安排。,以学校 orientation 页面、学院邮件和入境日期安排为准。,旅行证件；签证 / 进入许可；录取证明；住宿地址；保险 / 现金 / 电话卡等到港准备材料。,https://www.ln.edu.hk/osa/student-experience/cultural-integration/orientation-and-support/orientation-for-non-local-taught-postgraduate-students,medium,https://www.ln.edu.hk/osa/student-experience/cultural-integration/orientation-and-support/orientation-for-non-local-taught-postgraduate-students,2026-06-29,prepare_arrival_orientation,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
polyu-accept_offer,PolyU,offer_acceptance,接受 offer 并确认入读意向,登录学校申请系统或 offer letter 指定入口，按要求接受录取。若页面要求同时确认条款、上传回执或选择入学批次，需要一并完成。,收到 offer 后，且尚未完成 official acceptance。,以 offer letter、申请系统或学院邮件显示的 acceptance deadline 为准。,offer letter；申请系统账号；学校要求的接受录取确认信息。,https://www.polyu.edu.hk/study/pg/taught-postgraduate/,high,https://www.polyu.edu.hk/study/pg/taught-postgraduate/,2026-06-29,accept_offer,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
polyu-pay_deposit,PolyU,offer_acceptance,缴纳留位费 / admission deposit,按学校指定付款方式缴纳留位费，并保存付款成功页面、交易编号或银行凭证。,offer 条款或申请系统要求缴纳 deposit，且尚未完成付款。,通常与接受 offer 的截止日绑定；以 offer letter / portal 的金额与截止时间为准。,银行卡或汇款信息；付款凭证；application number / student ID。,https://www.polyu.edu.hk/study/pg/taught-postgraduate/,high,https://www.polyu.edu.hk/study/pg/taught-postgraduate/,2026-06-29,pay_deposit,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
polyu-submit_conditions,PolyU,offer_acceptance,补交 conditional offer 材料,核对 conditional offer 中尚未满足的条件，提交最终成绩单、毕业证、学位证、语言成绩或官方认证文件。,offer 为 conditional，且仍有 pending condition。,以 conditional offer、学院邮件或学校系统内的 document deadline 为准。,最终成绩单；毕业证 / 学位证；语言成绩；官方认证件；学校额外要求文件。,https://www.polyu.edu.hk/study/pg/taught-postgraduate/,high,https://www.polyu.edu.hk/study/pg/taught-postgraduate/,2026-06-29,submit_conditions,10,42,10,3,29,"action_instruction, deadline, required_document","You should update your results and upload your final official transcript(s)/certificate(s) to your application on or before the date which you have specified. | Please indicate your acceptance and settle the registration fee or tuition fee before the ""last day for payment"" displayed in the Notice of Offer, and register on the programme registration date as indicated on the Notice of Offer. (For conditional offer, you need to complete the procedures for meeting the conditions stated in the Notice of Offer beforeha... | For meeting condition(s), please return to the Online Notice of Offer page via eAdmission to complete the procedures for ""Meeting Conditions"" when you have acquired the relevant qualifications on or before the ""Meet Condition Date"".","If you have not yet received your results/transcript(s)/certificate(s) when you apply, please indicate in your application the date on which they will be available. | You should update your results and upload your final official transcript(s)/certificate(s) to your application on or before the date which you have specified. | You are required to upload your identity document transcript(s)/certificate(s) in support of your qualifications and other documents (including official English translation if your documents are not in English) as specifically required for your programme choices when you submit your application.","If you have not yet received your results/transcript(s)/certificate(s) when you apply, please indicate in your application the date on which they will be available. | You should update your results and upload your final official transcript(s)/certificate(s) to your application on or before the date which you have specified. | You are required to upload your identity document transcript(s)/certificate(s) in support of your qualifications and other documents (including official English translation if your documents are not in English) as specifically required for your programme choices when you submit your application.",,,polyu__submit_conditions__required_document__0218_00; polyu__submit_conditions__action_instruction__0218_01; polyu__submit_conditions__deadline__0218_02; polyu__submit_conditions__required_document__0218_03; polyu__submit_conditions__action_instruction__0218_04; polyu__submit_conditions__required_document__0219_01; polyu__submit_conditions__action_instruction__0219_02; polyu__submit_conditions__deadline__0234_00; polyu__submit_conditions__action_instruction__0234_01; polyu__submit_conditions__deadline__0235_00,audited,10 keep; 3 review/missing; 29 reject,evidence_found,2026-06-30
polyu-apply_student_visa,PolyU,visa,申请学生签证 / 进入许可,内地学生通常需要通过学校申请 entry permit / student visa。尽早准备表格、身份证明、录取证明和资金材料，等待学校或入境处处理。,决定入读且尚未递交学生签证 / 进入许可申请。,以学校签证页面、邮件及香港入境事务处处理周期为准；不要等到临近开学才递交。,签证 / 进入许可申请表；旅行证件；录取证明；财力证明；照片；学校要求的其他文件。,https://www.polyu.edu.hk/ar/web/for-new-students/non-local-students/important-notes-for-non-local-students/,high,https://www.polyu.edu.hk/ar/web/for-new-students/non-local-students/important-notes-for-non-local-students/,2026-06-29,apply_student_visa,12,16,12,2,2,"action_instruction, action_url, deadline, required_document","Therefore students have to ensure that they have adequate funds to cover tuition fees, accommodation and other expenses, including medical insurance before accepting the offer to study at PolyU. | It will normally take 8-10 weeks for the Immigration Department of HKSAR to process your application, therefore, you should complete and return the student visa application form with all the required documents to us by express post as soon as possible after you have accepted our offer.","It will normally take 8-10 weeks for the Immigration Department of HKSAR to process your application, therefore, you should complete and return the student visa application form with all the required documents to us by express post as soon as possible after you have accepted our offer. | This proof can take the form of personal or family bank letters/bank statements.","It will normally take 8-10 weeks for the Immigration Department of HKSAR to process your application, therefore, you should complete and return the student visa application form with all the required documents to us by express post as soon as possible after you have accepted our offer. | The Hong Kong Immigration Department requires all non-local students to provide proof of their ability to pay tuition fees and living expenses upon submission of their student visa applications. | You can check the latest status of your student visa application via eAdmission (https://www38.polyu.edu.hk/eAdmission/index.do) from time to time.",https://www38.polyu.edu.hk/eAdmission/index.do | https://www.polyu.edu.hk/aradm/tpg/guidelines_qualification_verification.pdf | https://www.polyu.edu.hk/study/pg/taught-postgraduate/general-information-tpg,,polyu__apply_student_visa__action_url__0215_00; polyu__apply_student_visa__deadline__0215_01; polyu__apply_student_visa__deadline__0241_00; polyu__apply_student_visa__required_document__0241_01; polyu__apply_student_visa__action_instruction__0241_02; polyu__apply_student_visa__action_instruction__0242_00; polyu__apply_student_visa__required_document__0242_01; polyu__apply_student_visa__action_url__0243_00; polyu__apply_student_visa__action_instruction__0243_01; polyu__apply_student_visa__action_instruction__0244_00; polyu__apply_student_visa__action_url__0247_00; polyu__apply_student_visa__action_url__0247_01,audited,12 keep; 2 review/missing; 2 reject,evidence_found,2026-06-30
polyu-apply_accommodation,PolyU,housing,申请宿舍或安排校外住宿,查询学校住宿申请窗口、资格和优先级；如校内宿舍名额有限，同时准备校外租房备选方案。,计划到港就读，且尚未提交住宿申请或确定住所。,以学校住宿页面公布的 application period / hall application deadline 为准。,student ID / application number；入学证明；住宿申请表；可能需要的紧急联系人信息。,https://www.polyu.edu.hk/sao/student-resources-and-support-section/residential-life/,medium,https://www.polyu.edu.hk/sao/student-resources-and-support-section/residential-life/,2026-06-29,apply_accommodation,5,5,5,0,0,"action_instruction, action_url, deadline","To check out further information on accommodation, please click here (https://www.polyu.edu.hk/sao/student-resources-and-support-section/non-local-student-services/living-and-working-in-hong-kong/off-campus-accommodation-information/) Before Application Submission",,"Please click here (https://www.polyu.edu.hk/sao/student-resources-and-support-section/non-local-student-services/) for details. | To check out further information on accommodation, please click here (https://www.polyu.edu.hk/sao/student-resources-and-support-section/non-local-student-services/living-and-working-in-hong-kong/off-campus-accommodation-information/) Before Application Submission",https://www.polyu.edu.hk/sao/student-resources-and-support-section/non-local-student-services/ | https://www.polyu.edu.hk/sao/student-resources-and-support-section/non-local-student-services/living-and-working-in-hong-kong/off-campus-accommodation-information/,,polyu__apply_accommodation__action_url__0216_00; polyu__apply_accommodation__action_url__0216_01; polyu__apply_accommodation__action_instruction__0216_02; polyu__apply_accommodation__deadline__0216_03; polyu__apply_accommodation__action_instruction__0216_04,audited,5 keep,evidence_found,2026-06-30
polyu-pay_tuition,PolyU,payment,核对并缴纳学费 / 其他费用,核对 programme tuition、缴费方式、分期安排和账单生成时间，按学校财务或学生系统要求付款。,学费账单或缴费通知已发布，且尚未完成付款。,以学校缴费页面、学生系统账单或学院邮件为准。,student ID；缴费通知；付款工具；付款凭证。,https://www.polyu.edu.hk/study/pg/taught-postgraduate/tuition-fees-tpg,medium,https://www.polyu.edu.hk/study/pg/taught-postgraduate/tuition-fees-tpg,2026-06-29,pay_tuition,1,4,1,0,3,action_url,,,,https://www.polyu.edu.hk/study/pg/taught-postgraduate/non-local-applicants-tpg,,polyu__pay_tuition__action_url__0205_00,audited,1 keep; 3 reject,evidence_found,2026-06-30
polyu-complete_registration,PolyU,registration,完成线上注册 / 学籍激活,按学校注册指引激活学生账号、完成个人资料、上传证件或注册确认，并检查是否需要线下核验。,学校开放 registration / enrolment，且尚未完成。,以学校 registration guide、学生系统和邮件通知为准。,身份证明；旅行证件；证件照片；录取信息；学校要求上传的声明或表格。,https://www.polyu.edu.hk/ar/students-in-taught-programmes/registration-information/programme-registration-enrolment/,high,https://www.polyu.edu.hk/ar/students-in-taught-programmes/registration-information/programme-registration-enrolment/,2026-06-29,complete_registration,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
polyu-prepare_arrival_orientation,PolyU,orientation,准备入境与参加 orientation,整理入境文件、住宿安排、交通和报到材料，关注 orientation / induction 活动报名与时间表。,签证 / 进入许可获批后，或开学前学校发布 orientation 安排。,以学校 orientation 页面、学院邮件和入境日期安排为准。,旅行证件；签证 / 进入许可；录取证明；住宿地址；保险 / 现金 / 电话卡等到港准备材料。,https://www.polyu.edu.hk/sao/student-resources-and-support-section/non-local-student-services/programmes-for-nls/orientation-and-welcoming-weeks/,medium,https://www.polyu.edu.hk/sao/student-resources-and-support-section/non-local-student-services/programmes-for-nls/orientation-and-welcoming-weeks/,2026-06-29,prepare_arrival_orientation,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
